STATE/UT,Year,Cases,Post2016,Post2020
ARUNACHAL PRADESH,2015,6.0,0,0
ARUNACHAL PRADESH,2016,4.0,1,0
ARUNACHAL PRADESH,2017,1.0,1,0
ARUNACHAL PRADESH,2018,7.0,1,0
ARUNACHAL PRADESH,2019,8.0,1,0
ARUNACHAL PRADESH,2020,30.0,1,1
ASSAM,2002,2.0,0,0
ASSAM,2003,0.0,0,0
ASSAM,2004,0.0,0,0
ASSAM,2005,1.0,0,0
ASSAM,2006,1.0,0,0
ASSAM,2007,0.0,0,0
ASSAM,2008,2.0,0,0
ASSAM,2009,4.0,0,0
ASSAM,2010,18.0,0,0
ASSAM,2011,31.0,0,0
ASSAM,2012,154.0,0,0
ASSAM,2013,154.0,0,0
ASSAM,2014,379.0,0,0
ASSAM,2015,483.0,0,0
ASSAM,2016,696.0,1,0
ASSAM,2017,1120.0,1,0
ASSAM,2018,2022.0,1,0
ASSAM,2019,2231.0,1,0
ASSAM,2020,3530.0,1,1
BIHAR,2002,0.0,0,0
BIHAR,2003,0.0,0,0
BIHAR,2004,0.0,0,0
BIHAR,2005,0.0,0,0
BIHAR,2006,0.0,0,0
BIHAR,2007,0.0,0,0
BIHAR,2008,0.0,0,0
BIHAR,2009,0.0,0,0
BIHAR,2010,2.0,0,0
BIHAR,2011,38.0,0,0
BIHAR,2012,139.0,0,0
BIHAR,2013,139.0,0,0
BIHAR,2014,114.0,0,0
BIHAR,2015,242.0,0,0
BIHAR,2016,309.0,1,0
BIHAR,2017,433.0,1,0
BIHAR,2018,374.0,1,0
BIHAR,2019,1050.0,1,0
BIHAR,2020,1512.0,1,1
CHANDIGARH,2002,2.0,0,0
CHANDIGARH,2003,1.0,0,0
CHANDIGARH,2004,1.0,0,0
CHANDIGARH,2005,2.0,0,0
CHANDIGARH,2006,2.0,0,0
CHANDIGARH,2007,1.0,0,0
CHANDIGARH,2008,9.0,0,0
CHANDIGARH,2009,4.0,0,0
CHANDIGARH,2010,3.0,0,0
CHANDIGARH,2011,10.0,0,0
CHANDIGARH,2012,11.0,0,0
CHANDIGARH,2013,11.0,0,0
CHANDIGARH,2014,55.0,0,0
CHANDIGARH,2015,77.0,0,0
CHANDIGARH,2016,26.0,1,0
CHANDIGARH,2017,32.0,1,0
CHANDIGARH,2018,30.0,1,0
CHANDIGARH,2019,23.0,1,0
CHANDIGARH,2020,17.0,1,1
CHHATTISGARH,2002,0.0,0,0
CHHATTISGARH,2003,0.0,0,0
CHHATTISGARH,2004,0.0,0,0
CHHATTISGARH,2005,46.0,0,0
CHHATTISGARH,2006,28.0,0,0
CHHATTISGARH,2007,57.0,0,0
CHHATTISGARH,2008,20.0,0,0
CHHATTISGARH,2009,50.0,0,0
CHHATTISGARH,2010,50.0,0,0
CHHATTISGARH,2011,78.0,0,0
CHHATTISGARH,2012,101.0,0,0
CHHATTISGARH,2013,101.0,0,0
CHHATTISGARH,2014,123.0,0,0
CHHATTISGARH,2015,103.0,0,0
CHHATTISGARH,2016,90.0,1,0
CHHATTISGARH,2017,171.0,1,0
CHHATTISGARH,2018,139.0,1,0
CHHATTISGARH,2019,175.0,1,0
CHHATTISGARH,2020,297.0,1,1
D & N HAVELI,2002,0.0,0,0
D & N HAVELI,2003,0.0,0,0
D & N HAVELI,2004,0.0,0,0
D & N HAVELI,2005,0.0,0,0
D & N HAVELI,2006,0.0,0,0
D & N HAVELI,2007,0.0,0,0
D & N HAVELI,2008,0.0,0,0
D & N HAVELI,2009,0.0,0,0
D & N HAVELI,2010,0.0,0,0
D & N HAVELI,2011,6.0,0,0
D & N HAVELI,2012,0.0,0,0
D & N HAVELI,2013,0.0,0,0
D & N HAVELI,2014,3.0,0,0
D & N HAVELI,2015,0.0,0,0
D & N HAVELI,2016,1.0,1,0
D & N HAVELI,2017,1.0,1,0
D & N HAVELI,2018,0.0,1,0
D & N HAVELI,2019,0.0,1,0
D & N HAVELI,2020,0.0,1,1
DAMAN & DIU,2002,7.0,0,0
DAMAN & DIU,2003,0.0,0,0
DAMAN & DIU,2004,0.0,0,0
DAMAN & DIU,2005,0.0,0,0
DAMAN & DIU,2006,0.0,0,0
DAMAN & DIU,2007,0.0,0,0
DAMAN & DIU,2008,0.0,0,0
DAMAN & DIU,2009,0.0,0,0
DAMAN & DIU,2010,0.0,0,0
DAMAN & DIU,2011,1.0,0,0
DAMAN & DIU,2012,1.0,0,0
DAMAN & DIU,2013,1.0,0,0
DAMAN & DIU,2014,1.0,0,0
DAMAN & DIU,2015,1.0,0,0
DAMAN & DIU,2016,0.0,1,0
DAMAN & DIU,2017,0.0,1,0
DAMAN & DIU,2018,0.0,1,0
DAMAN & DIU,2019,3.0,1,0
DAMAN & DIU,2020,3.0,1,1
DELHI,2002,7.0,0,0
DELHI,2003,4.0,0,0
DELHI,2004,14.0,0,0
DELHI,2005,18.0,0,0
DELHI,2006,13.0,0,0
DELHI,2007,25.0,0,0
DELHI,2008,12.0,0,0
DELHI,2009,17.0,0,0
DELHI,2010,41.0,0,0
DELHI,2011,99.0,0,0
DELHI,2012,150.0,0,0
DELHI,2013,150.0,0,0
DELHI,2014,226.0,0,0
DELHI,2015,177.0,0,0
DELHI,2016,98.0,1,0
DELHI,2017,162.0,1,0
DELHI,2018,189.0,1,0
DELHI,2019,115.0,1,0
DELHI,2020,168.0,1,1
GOA,2002,8.0,0,0
GOA,2003,2.0,0,0
GOA,2004,0.0,0,0
GOA,2005,0.0,0,0
GOA,2006,0.0,0,0
GOA,2007,4.0,0,0
GOA,2008,6.0,0,0
GOA,2009,12.0,0,0
GOA,2010,16.0,0,0
GOA,2011,18.0,0,0
GOA,2012,58.0,0,0
GOA,2013,58.0,0,0
GOA,2014,62.0,0,0
GOA,2015,17.0,0,0
GOA,2016,31.0,1,0
GOA,2017,13.0,1,0
GOA,2018,29.0,1,0
GOA,2019,15.0,1,0
GOA,2020,40.0,1,1
GUJARAT,2002,250.0,0,0
GUJARAT,2003,29.0,0,0
GUJARAT,2004,126.0,0,0
GUJARAT,2005,155.0,0,0
GUJARAT,2006,158.0,0,0
GUJARAT,2007,3.0,0,0
GUJARAT,2008,33.0,0,0
GUJARAT,2009,36.0,0,0
GUJARAT,2010,55.0,0,0
GUJARAT,2011,67.0,0,0
GUJARAT,2012,77.0,0,0
GUJARAT,2013,77.0,0,0
GUJARAT,2014,227.0,0,0
GUJARAT,2015,242.0,0,0
GUJARAT,2016,362.0,1,0
GUJARAT,2017,458.0,1,0
GUJARAT,2018,702.0,1,0
GUJARAT,2019,784.0,1,0
GUJARAT,2020,1283.0,1,1
HARYANA,2002,2.0,0,0
HARYANA,2003,1.0,0,0
HARYANA,2004,0.0,0,0
HARYANA,2005,9.0,0,0
HARYANA,2006,2.0,0,0
HARYANA,2007,1.0,0,0
HARYANA,2008,0.0,0,0
HARYANA,2009,0.0,0,0
HARYANA,2010,1.0,0,0
HARYANA,2011,45.0,0,0
HARYANA,2012,323.0,0,0
HARYANA,2013,323.0,0,0
HARYANA,2014,151.0,0,0
HARYANA,2015,224.0,0,0
HARYANA,2016,401.0,1,0
HARYANA,2017,504.0,1,0
HARYANA,2018,418.0,1,0
HARYANA,2019,564.0,1,0
HARYANA,2020,656.0,1,1
HIMACHAL PRADESH,2002,99.0,0,0
HIMACHAL PRADESH,2003,87.0,0,0
HIMACHAL PRADESH,2004,0.0,0,0
HIMACHAL PRADESH,2005,0.0,0,0
HIMACHAL PRADESH,2006,0.0,0,0
HIMACHAL PRADESH,2007,0.0,0,0
HIMACHAL PRADESH,2008,6.0,0,0
HIMACHAL PRADESH,2009,6.0,0,0
HIMACHAL PRADESH,2010,17.0,0,0
HIMACHAL PRADESH,2011,12.0,0,0
HIMACHAL PRADESH,2012,28.0,0,0
HIMACHAL PRADESH,2013,28.0,0,0
HIMACHAL PRADESH,2014,38.0,0,0
HIMACHAL PRADESH,2015,50.0,0,0
HIMACHAL PRADESH,2016,31.0,1,0
HIMACHAL PRADESH,2017,56.0,1,0
HIMACHAL PRADESH,2018,69.0,1,0
HIMACHAL PRADESH,2019,76.0,1,0
HIMACHAL PRADESH,2020,98.0,1,1
JAMMU & KASHMIR,2002,1.0,0,0
JAMMU & KASHMIR,2003,0.0,0,0
JAMMU & KASHMIR,2004,1.0,0,0
JAMMU & KASHMIR,2005,0.0,0,0
JAMMU & KASHMIR,2006,0.0,0,0
JAMMU & KASHMIR,2007,0.0,0,0
JAMMU & KASHMIR,2008,0.0,0,0
JAMMU & KASHMIR,2009,0.0,0,0
JAMMU & KASHMIR,2010,6.0,0,0
JAMMU & KASHMIR,2011,14.0,0,0
JAMMU & KASHMIR,2012,46.0,0,0
JAMMU & KASHMIR,2013,46.0,0,0
JAMMU & KASHMIR,2014,37.0,0,0
JAMMU & KASHMIR,2015,34.0,0,0
JAMMU & KASHMIR,2016,28.0,1,0
JAMMU & KASHMIR,2017,63.0,1,0
JAMMU & KASHMIR,2018,73.0,1,0
JAMMU & KASHMIR,2019,73.0,1,0
JAMMU & KASHMIR,2020,120.0,1,1
JHARKHAND,2002,0.0,0,0
JHARKHAND,2003,0.0,0,0
JHARKHAND,2004,0.0,0,0
JHARKHAND,2005,0.0,0,0
JHARKHAND,2006,0.0,0,0
JHARKHAND,2007,0.0,0,0
JHARKHAND,2008,0.0,0,0
JHARKHAND,2009,0.0,0,0
JHARKHAND,2010,0.0,0,0
JHARKHAND,2011,33.0,0,0
JHARKHAND,2012,26.0,0,0
JHARKHAND,2013,26.0,0,0
JHARKHAND,2014,93.0,0,0
JHARKHAND,2015,180.0,0,0
JHARKHAND,2016,259.0,1,0
JHARKHAND,2017,720.0,1,0
JHARKHAND,2018,930.0,1,0
JHARKHAND,2019,1095.0,1,0
JHARKHAND,2020,1204.0,1,1
KARNATAKA,2002,15.0,0,0
KARNATAKA,2003,8.0,0,0
KARNATAKA,2004,14.0,0,0
KARNATAKA,2005,38.0,0,0
KARNATAKA,2006,27.0,0,0
KARNATAKA,2007,41.0,0,0
KARNATAKA,2008,57.0,0,0
KARNATAKA,2009,97.0,0,0
KARNATAKA,2010,176.0,0,0
KARNATAKA,2011,160.0,0,0
KARNATAKA,2012,533.0,0,0
KARNATAKA,2013,533.0,0,0
KARNATAKA,2014,1020.0,0,0
KARNATAKA,2015,1447.0,0,0
KARNATAKA,2016,1101.0,1,0
KARNATAKA,2017,3174.0,1,0
KARNATAKA,2018,5839.0,1,0
KARNATAKA,2019,12020.0,1,0
KARNATAKA,2020,10741.0,1,1
KERALA,2002,4.0,0,0
KERALA,2003,1.0,0,0
KERALA,2004,2.0,0,0
KERALA,2005,3.0,0,0
KERALA,2006,12.0,0,0
KERALA,2007,38.0,0,0
KERALA,2008,67.0,0,0
KERALA,2009,71.0,0,0
KERALA,2010,156.0,0,0
KERALA,2011,245.0,0,0
KERALA,2012,383.0,0,0
KERALA,2013,383.0,0,0
KERALA,2014,450.0,0,0
KERALA,2015,290.0,0,0
KERALA,2016,283.0,1,0
KERALA,2017,320.0,1,0
KERALA,2018,340.0,1,0
KERALA,2019,307.0,1,0
KERALA,2020,426.0,1,1
LADAKH,2002,0.0,0,0
LADAKH,2003,0.0,0,0
LADAKH,2004,0.0,0,0
LADAKH,2005,0.0,0,0
LADAKH,2006,0.0,0,0
LADAKH,2007,0.0,0,0
LADAKH,2008,0.0,0,0
LADAKH,2009,0.0,0,0
LADAKH,2010,0.0,0,0
LADAKH,2011,0.0,0,0
LADAKH,2012,0.0,0,0
LADAKH,2013,0.0,0,0
LADAKH,2014,0.0,0,0
LADAKH,2015,0.0,0,0
LADAKH,2016,0.0,1,0
LADAKH,2017,0.0,1,0
LADAKH,2018,0.0,1,0
LADAKH,2019,0.0,1,0
LADAKH,2020,1.0,1,1
LAKSHADWEEP,2002,0.0,0,0
LAKSHADWEEP,2003,0.0,0,0
LAKSHADWEEP,2004,0.0,0,0
LAKSHADWEEP,2005,0.0,0,0
LAKSHADWEEP,2006,0.0,0,0
LAKSHADWEEP,2007,0.0,0,0
LAKSHADWEEP,2008,0.0,0,0
LAKSHADWEEP,2009,0.0,0,0
LAKSHADWEEP,2010,0.0,0,0
LAKSHADWEEP,2011,0.0,0,0
LAKSHADWEEP,2012,0.0,0,0
LAKSHADWEEP,2013,0.0,0,0
LAKSHADWEEP,2014,1.0,0,0
LAKSHADWEEP,2015,0.0,0,0
LAKSHADWEEP,2016,0.0,1,0
LAKSHADWEEP,2017,0.0,1,0
LAKSHADWEEP,2018,4.0,1,0
LAKSHADWEEP,2019,4.0,1,0
LAKSHADWEEP,2020,3.0,1,1
MADHYA PRADESH,2002,0.0,0,0
MADHYA PRADESH,2003,0.0,0,0
MADHYA PRADESH,2004,0.0,0,0
MADHYA PRADESH,2005,0.0,0,0
MADHYA PRADESH,2006,5.0,0,0
MADHYA PRADESH,2007,164.0,0,0
MADHYA PRADESH,2008,11.0,0,0
MADHYA PRADESH,2009,17.0,0,0
MADHYA PRADESH,2010,35.0,0,0
MADHYA PRADESH,2011,103.0,0,0
MADHYA PRADESH,2012,342.0,0,0
MADHYA PRADESH,2013,342.0,0,0
MADHYA PRADESH,2014,289.0,0,0
MADHYA PRADESH,2015,231.0,0,0
MADHYA PRADESH,2016,258.0,1,0
MADHYA PRADESH,2017,490.0,1,0
MADHYA PRADESH,2018,740.0,1,0
MADHYA PRADESH,2019,602.0,1,0
MADHYA PRADESH,2020,699.0,1,1
MAHARASHTRA,2002,13.0,0,0
MAHARASHTRA,2003,17.0,0,0
MAHARASHTRA,2004,21.0,0,0
MAHARASHTRA,2005,27.0,0,0
MAHARASHTRA,2006,36.0,0,0
MAHARASHTRA,2007,50.0,0,0
MAHARASHTRA,2008,39.0,0,0
MAHARASHTRA,2009,161.0,0,0
MAHARASHTRA,2010,246.0,0,0
MAHARASHTRA,2011,393.0,0,0
MAHARASHTRA,2012,907.0,0,0
MAHARASHTRA,2013,907.0,0,0
MAHARASHTRA,2014,1879.0,0,0
MAHARASHTRA,2015,2195.0,0,0
MAHARASHTRA,2016,2380.0,1,0
MAHARASHTRA,2017,3604.0,1,0
MAHARASHTRA,2018,3511.0,1,0
MAHARASHTRA,2019,4967.0,1,0
MAHARASHTRA,2020,5496.0,1,1
MANIPUR,2002,0.0,0,0
MANIPUR,2003,0.0,0,0
MANIPUR,2004,0.0,0,0
MANIPUR,2005,0.0,0,0
MANIPUR,2006,0.0,0,0
MANIPUR,2007,0.0,0,0
MANIPUR,2008,0.0,0,0
MANIPUR,2009,1.0,0,0
MANIPUR,2010,0.0,0,0
MANIPUR,2011,0.0,0,0
MANIPUR,2012,1.0,0,0
MANIPUR,2013,1.0,0,0
MANIPUR,2014,13.0,0,0
MANIPUR,2015,6.0,0,0
MANIPUR,2016,11.0,1,0
MANIPUR,2017,74.0,1,0
MANIPUR,2018,29.0,1,0
MANIPUR,2019,4.0,1,0
MANIPUR,2020,79.0,1,1
MEGHALAYA,2002,0.0,0,0
MEGHALAYA,2003,0.0,0,0
MEGHALAYA,2004,0.0,0,0
MEGHALAYA,2005,0.0,0,0
MEGHALAYA,2006,2.0,0,0
MEGHALAYA,2007,0.0,0,0
MEGHALAYA,2008,0.0,0,0
MEGHALAYA,2009,0.0,0,0
MEGHALAYA,2010,0.0,0,0
MEGHALAYA,2011,6.0,0,0
MEGHALAYA,2012,17.0,0,0
MEGHALAYA,2013,17.0,0,0
MEGHALAYA,2014,60.0,0,0
MEGHALAYA,2015,56.0,0,0
MEGHALAYA,2016,39.0,1,0
MEGHALAYA,2017,39.0,1,0
MEGHALAYA,2018,74.0,1,0
MEGHALAYA,2019,89.0,1,0
MEGHALAYA,2020,142.0,1,1
MIZORAM,2002,0.0,0,0
MIZORAM,2003,0.0,0,0
MIZORAM,2004,0.0,0,0
MIZORAM,2005,0.0,0,0
MIZORAM,2006,0.0,0,0
MIZORAM,2007,0.0,0,0
MIZORAM,2008,0.0,0,0
MIZORAM,2009,0.0,0,0
MIZORAM,2010,2.0,0,0
MIZORAM,2011,3.0,0,0
MIZORAM,2012,0.0,0,0
MIZORAM,2013,0.0,0,0
MIZORAM,2014,22.0,0,0
MIZORAM,2015,8.0,0,0
MIZORAM,2016,1.0,1,0
MIZORAM,2017,10.0,1,0
MIZORAM,2018,6.0,1,0
MIZORAM,2019,8.0,1,0
MIZORAM,2020,13.0,1,1
NAGALAND,2002,0.0,0,0
NAGALAND,2003,0.0,0,0
NAGALAND,2004,0.0,0,0
NAGALAND,2005,0.0,0,0
NAGALAND,2006,0.0,0,0
NAGALAND,2007,0.0,0,0
NAGALAND,2008,0.0,0,0
NAGALAND,2009,0.0,0,0
NAGALAND,2010,0.0,0,0
NAGALAND,2011,0.0,0,0
NAGALAND,2012,0.0,0,0
NAGALAND,2013,0.0,0,0
NAGALAND,2014,0.0,0,0
NAGALAND,2015,0.0,0,0
NAGALAND,2016,2.0,1,0
NAGALAND,2017,0.0,1,0
NAGALAND,2018,2.0,1,0
NAGALAND,2019,2.0,1,0
NAGALAND,2020,8.0,1,1
ODISHA,2002,4.0,0,0
ODISHA,2003,5.0,0,0
ODISHA,2004,1.0,0,0
ODISHA,2005,6.0,0,0
ODISHA,2006,0.0,0,0
ODISHA,2007,2.0,0,0
ODISHA,2008,15.0,0,0
ODISHA,2009,13.0,0,0
ODISHA,2010,12.0,0,0
ODISHA,2011,12.0,0,0
ODISHA,2012,104.0,0,0
ODISHA,2013,104.0,0,0
ODISHA,2014,124.0,0,0
ODISHA,2015,386.0,0,0
ODISHA,2016,317.0,1,0
ODISHA,2017,824.0,1,0
ODISHA,2018,843.0,1,0
ODISHA,2019,1485.0,1,0
ODISHA,2020,1931.0,1,1
PUDUCHERRY,2002,0.0,0,0
PUDUCHERRY,2003,0.0,0,0
PUDUCHERRY,2004,0.0,0,0
PUDUCHERRY,2005,0.0,0,0
PUDUCHERRY,2006,0.0,0,0
PUDUCHERRY,2007,0.0,0,0
PUDUCHERRY,2008,1.0,0,0
PUDUCHERRY,2009,0.0,0,0
PUDUCHERRY,2010,0.0,0,0
PUDUCHERRY,2011,2.0,0,0
PUDUCHERRY,2012,5.0,0,0
PUDUCHERRY,2013,5.0,0,0
PUDUCHERRY,2014,1.0,0,0
PUDUCHERRY,2015,0.0,0,0
PUDUCHERRY,2016,2.0,1,0
PUDUCHERRY,2017,5.0,1,0
PUDUCHERRY,2018,14.0,1,0
PUDUCHERRY,2019,4.0,1,0
PUDUCHERRY,2020,10.0,1,1
PUNJAB,2002,29.0,0,0
PUNJAB,2003,63.0,0,0
PUNJAB,2004,6.0,0,0
PUNJAB,2005,50.0,0,0
PUNJAB,2006,55.0,0,0
PUNJAB,2007,49.0,0,0
PUNJAB,2008,47.0,0,0
PUNJAB,2009,56.0,0,0
PUNJAB,2010,68.0,0,0
PUNJAB,2011,79.0,0,0
PUNJAB,2012,156.0,0,0
PUNJAB,2013,156.0,0,0
PUNJAB,2014,226.0,0,0
PUNJAB,2015,149.0,0,0
PUNJAB,2016,102.0,1,0
PUNJAB,2017,176.0,1,0
PUNJAB,2018,239.0,1,0
PUNJAB,2019,243.0,1,0
PUNJAB,2020,378.0,1,1
RAJASTHAN,2002,0.0,0,0
RAJASTHAN,2003,0.0,0,0
RAJASTHAN,2004,0.0,0,0
RAJASTHAN,2005,18.0,0,0
RAJASTHAN,2006,4.0,0,0
RAJASTHAN,2007,16.0,0,0
RAJASTHAN,2008,4.0,0,0
RAJASTHAN,2009,28.0,0,0
RAJASTHAN,2010,55.0,0,0
RAJASTHAN,2011,146.0,0,0
RAJASTHAN,2012,297.0,0,0
RAJASTHAN,2013,297.0,0,0
RAJASTHAN,2014,697.0,0,0
RAJASTHAN,2015,949.0,0,0
RAJASTHAN,2016,941.0,1,0
RAJASTHAN,2017,1304.0,1,0
RAJASTHAN,2018,1104.0,1,0
RAJASTHAN,2019,1762.0,1,0
RAJASTHAN,2020,1354.0,1,1
SIKKIM,2002,0.0,0,0
SIKKIM,2003,0.0,0,0
SIKKIM,2004,0.0,0,0
SIKKIM,2005,0.0,0,0
SIKKIM,2006,0.0,0,0
SIKKIM,2007,0.0,0,0
SIKKIM,2008,0.0,0,0
SIKKIM,2009,0.0,0,0
SIKKIM,2010,0.0,0,0
SIKKIM,2011,4.0,0,0
SIKKIM,2012,0.0,0,0
SIKKIM,2013,0.0,0,0
SIKKIM,2014,4.0,0,0
SIKKIM,2015,1.0,0,0
SIKKIM,2016,1.0,1,0
SIKKIM,2017,1.0,1,0
SIKKIM,2018,1.0,1,0
SIKKIM,2019,2.0,1,0
SIKKIM,2020,0.0,1,1
TAMIL NADU,2002,3.0,0,0
TAMIL NADU,2003,10.0,0,0
TAMIL NADU,2004,50.0,0,0
TAMIL NADU,2005,22.0,0,0
TAMIL NADU,2006,8.0,0,0
TAMIL NADU,2007,15.0,0,0
TAMIL NADU,2008,25.0,0,0
TAMIL NADU,2009,37.0,0,0
TAMIL NADU,2010,77.0,0,0
TAMIL NADU,2011,45.0,0,0
TAMIL NADU,2012,90.0,0,0
TAMIL NADU,2013,90.0,0,0
TAMIL NADU,2014,172.0,0,0
TAMIL NADU,2015,142.0,0,0
TAMIL NADU,2016,144.0,1,0
TAMIL NADU,2017,228.0,1,0
TAMIL NADU,2018,295.0,1,0
TAMIL NADU,2019,385.0,1,0
TAMIL NADU,2020,782.0,1,1
TELANGANA,2002,0.0,0,0
TELANGANA,2003,0.0,0,0
TELANGANA,2004,0.0,0,0
TELANGANA,2005,0.0,0,0
TELANGANA,2006,0.0,0,0
TELANGANA,2007,0.0,0,0
TELANGANA,2008,0.0,0,0
TELANGANA,2009,0.0,0,0
TELANGANA,2010,0.0,0,0
TELANGANA,2011,0.0,0,0
TELANGANA,2012,0.0,0,0
TELANGANA,2013,0.0,0,0
TELANGANA,2014,703.0,0,0
TELANGANA,2015,687.0,0,0
TELANGANA,2016,593.0,1,0
TELANGANA,2017,1209.0,1,0
TELANGANA,2018,1205.0,1,0
TELANGANA,2019,2691.0,1,0
TELANGANA,2020,5024.0,1,1
TRIPURA,2002,0.0,0,0
TRIPURA,2003,0.0,0,0
TRIPURA,2004,0.0,0,0
TRIPURA,2005,0.0,0,0
TRIPURA,2006,0.0,0,0
TRIPURA,2007,0.0,0,0
TRIPURA,2008,0.0,0,0
TRIPURA,2009,0.0,0,0
TRIPURA,2010,0.0,0,0
TRIPURA,2011,0.0,0,0
TRIPURA,2012,14.0,0,0
TRIPURA,2013,14.0,0,0
TRIPURA,2014,5.0,0,0
TRIPURA,2015,13.0,0,0
TRIPURA,2016,8.0,1,0
TRIPURA,2017,7.0,1,0
TRIPURA,2018,20.0,1,0
TRIPURA,2019,20.0,1,0
TRIPURA,2020,34.0,1,1
UTTAR PRADESH,2002,86.0,0,0
UTTAR PRADESH,2003,5.0,0,0
UTTAR PRADESH,2004,5.0,0,0
UTTAR PRADESH,2005,4.0,0,0
UTTAR PRADESH,2006,0.0,0,0
UTTAR PRADESH,2007,5.0,0,0
UTTAR PRADESH,2008,2.0,0,0
UTTAR PRADESH,2009,17.0,0,0
UTTAR PRADESH,2010,41.0,0,0
UTTAR PRADESH,2011,114.0,0,0
UTTAR PRADESH,2012,682.0,0,0
UTTAR PRADESH,2013,682.0,0,0
UTTAR PRADESH,2014,1737.0,0,0
UTTAR PRADESH,2015,2208.0,0,0
UTTAR PRADESH,2016,2639.0,1,0
UTTAR PRADESH,2017,4971.0,1,0
UTTAR PRADESH,2018,6280.0,1,0
UTTAR PRADESH,2019,11416.0,1,0
UTTAR PRADESH,2020,11097.0,1,1
UTTARAKHAND,2002,0.0,0,0
UTTARAKHAND,2003,1.0,0,0
UTTARAKHAND,2004,0.0,0,0
UTTARAKHAND,2005,0.0,0,0
UTTARAKHAND,2006,3.0,0,0
UTTARAKHAND,2007,1.0,0,0
UTTARAKHAND,2008,2.0,0,0
UTTARAKHAND,2009,7.0,0,0
UTTARAKHAND,2010,11.0,0,0
UTTARAKHAND,2011,6.0,0,0
UTTARAKHAND,2012,27.0,0,0
UTTARAKHAND,2013,27.0,0,0
UTTARAKHAND,2014,42.0,0,0
UTTARAKHAND,2015,48.0,0,0
UTTARAKHAND,2016,62.0,1,0
UTTARAKHAND,2017,124.0,1,0
UTTARAKHAND,2018,171.0,1,0
UTTARAKHAND,2019,100.0,1,0
UTTARAKHAND,2020,243.0,1,1
WEST BENGAL,2002,0.0,0,0
WEST BENGAL,2003,0.0,0,0
WEST BENGAL,2004,0.0,0,0
WEST BENGAL,2005,0.0,0,0
WEST BENGAL,2006,6.0,0,0
WEST BENGAL,2007,4.0,0,0
WEST BENGAL,2008,2.0,0,0
WEST BENGAL,2009,23.0,0,0
WEST BENGAL,2010,60.0,0,0
WEST BENGAL,2011,57.0,0,0
WEST BENGAL,2012,342.0,0,0
WEST BENGAL,2013,342.0,0,0
WEST BENGAL,2014,355.0,0,0
WEST BENGAL,2015,398.0,0,0
WEST BENGAL,2016,478.0,1,0
WEST BENGAL,2017,568.0,1,0
WEST BENGAL,2018,335.0,1,0
WEST BENGAL,2019,524.0,1,0
WEST BENGAL,2020,712.0,1,1
